[13-Oct-2015 02:54:27 UTC] PHP Parse error:  syntax error, unexpected '->' (T_OBJECT_OPERATOR) in /Users/brianblosser/Documents/GitHub/winding-rivers-wordpress/wp-content/themes/BootstrapWP/functions.php on line 17
[14-Oct-2015 02:10:11 UTC] PHP Parse error:  syntax error, unexpected ';', expecting ')' in /Users/brianblosser/Documents/GitHub/winding-rivers-wordpress/wp-content/themes/BootstrapWP/functions.php on line 32
[14-Oct-2015 02:11:36 UTC] PHP Parse error:  syntax error, unexpected ';', expecting ')' in /Users/brianblosser/Documents/GitHub/winding-rivers-wordpress/wp-content/themes/BootstrapWP/functions.php on line 32
[14-Oct-2015 02:11:38 UTC] PHP Parse error:  syntax error, unexpected ';', expecting ')' in /Users/brianblosser/Documents/GitHub/winding-rivers-wordpress/wp-content/themes/BootstrapWP/functions.php on line 32
[14-Oct-2015 02:11:40 UTC] PHP Parse error:  syntax error, unexpected ';', expecting ')' in /Users/brianblosser/Documents/GitHub/winding-rivers-wordpress/wp-content/themes/BootstrapWP/functions.php on line 32
[14-Oct-2015 02:11:43 UTC] PHP Parse error:  syntax error, unexpected ';', expecting ')' in /Users/brianblosser/Documents/GitHub/winding-rivers-wordpress/wp-content/themes/BootstrapWP/functions.php on line 32
[14-Oct-2015 02:12:18 UTC] PHP Warning:  call_user_func_array() expects parameter 1 to be a valid callback, function 'register_theme_menus' not found or invalid function name in /Users/brianblosser/Documents/GitHub/winding-rivers-wordpress/wp-includes/plugin.php on line 503
[14-Oct-2015 02:12:18 UTC] PHP Warning:  call_user_func_array() expects parameter 1 to be a valid callback, function 'register_theme_menus' not found or invalid function name in /Users/brianblosser/Documents/GitHub/winding-rivers-wordpress/wp-includes/plugin.php on line 503
[14-Oct-2015 02:12:34 UTC] PHP Warning:  call_user_func_array() expects parameter 1 to be a valid callback, function 'register_theme_menus' not found or invalid function name in /Users/brianblosser/Documents/GitHub/winding-rivers-wordpress/wp-includes/plugin.php on line 503
[14-Oct-2015 02:12:52 UTC] PHP Warning:  call_user_func_array() expects parameter 1 to be a valid callback, function 'register_theme_menus' not found or invalid function name in /Users/brianblosser/Documents/GitHub/winding-rivers-wordpress/wp-includes/plugin.php on line 503
[14-Oct-2015 02:13:06 UTC] PHP Warning:  call_user_func_array() expects parameter 1 to be a valid callback, function 'register_theme_menus' not found or invalid function name in /Users/brianblosser/Documents/GitHub/winding-rivers-wordpress/wp-includes/plugin.php on line 503
